Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,
0,24,9,12,22,
1,33,8,12,25,
2,16,9,10,24,
3,24,12,14,21,
4,10,10,11,22,
5,9,11,11,20,
6,12,10,12,17,
7,11,10,12,34,
8,12,8,9,23,
9,10,10,15,26,
10,13,17,14,27,
11,9,13,14,32,
12,27,18,12,10,
13,10,10,10,25,
14,12,11,11,24,
15,13,9,15,19,
16,18,9,12,23,
17,12,11,13,20,
18,10,10,10,9,
19,14,11,14,37,
20,25,11,17,28,
21,9,13,12,19,
22,14,9,11,27,
23,20,8,12,22,
24,16,11,13,25,
25,16,25,13,29,
26,8,26,13,27,
27,10,26,16,26,
28,11,22,10,23,
29,29,19,10,24,
30,30,19,16,28,
31,12,8,13,12,
32,10,35,17,26,
33,45,13,12,21,
34,22,23,12,26,
35,58,17,13,32,
36,10,22,20,10,
37,26,21,13,37,
38,19,28,11,22,
39,42,27,14,20,
40,25,11,12,13,
41,28,17,12,25,
42,28,13,12,17,
43,20,30,9,21,
44,12,17,13,16,
45,10,10,16,25,
46,21,14,12,25,
47,23,29,9,35,
48,49,20,15,42,
49,18,15,16,37,
50,28,11,22,40,
51,27,12,9,68,
52,26,17,15,18,
53,23,16,14,22,
54,24,12,13,32,
55,21,11,11,56,
56,21,17,14,22,
57,39,10,19,32,
58,25,21,12,25,
59,23,22,13,64,
60,35,20,27,36,
61,21,36,30,55,
62,25,32,24,49,
63,27,34,30,28,
64,27,24,23,17,
65,25,23,22,200,
66,32,28,13,28,
67,34,28,15,35,
68,48,25,19,38,
69,47,30,28,129,
70,63,18,20,38,
71,23,27,23,37,
72,23,24,19,25,
73,23,23,17,22,
74,49,25,37,25,
75,24,26,22,24,
76,46,37,24,20,
77,77,29,15,24,
78,24,44,10,44,
79,26,25,50,45,
80,32,15,26,23,
81,25,27,16,18,
82,19,22,14,33,
83,17,29,26,29,
84,62,22,27,27,
85,31,16,26,21,
86,57,28,29,17,
87,27,26,22,24,
88,24,21,38,31,
89,40,20,20,51,
90,24,28,23,23,
91,42,20,9,28,
92,19,17,21,39,
93,39,17,12,26,
94,29,16,20,45,
95,12,74,12,170,
96,29,13,28,47,
97,53,12,30,129,
98,117,18,20,20,
99,13,25,27,23,
100,20,18,20,25,
101,73,21,26,22,
102,35,32,16,19,
103,31,27,14,22,
104,56,31,20,26,
105,23,24,16,33,
106,19,52,19,29,
107,27,18,10,22,
108,17,9,21,41,
109,19,36,24,22,
110,200,29,14,31,
111,28,23,46,36,
112,24,32,14,18,
113,200,41,21,42,
114,19,23,18,31,
115,21,21,18,21,
116,17,33,23,30,
117,71,24,20,19,
118,34,44,26,25,
119,26,28,21,29,
120,23,28,28,21,
121,23,28,75,18,
122,21,22,21,30,
123,25,20,58,21,
124,23,18,32,46,
125,20,19,16,22,
126,35,18,18,20,
127,21,15,25,50,
128,30,16,12,30,
129,32,23,25,35,
130,27,24,14,200,
131,24,20,25,200,
132,24,23,9,49,
133,19,28,15,107,
134,14,30,14,28,
135,10,22,11,21,
136,31,16,9,44,
137,20,14,20,31,
138,31,25,21,17,
139,24,20,18,34,
140,26,24,25,133,
141,19,14,20,29,
142,44,26,18,200,
143,24,28,11,67,
144,24,22,16,41,
145,31,23,27,121,
146,25,23,19,108,
147,26,25,24,27,
148,19,23,30,25,
149,14,28,34,17,
150,30,22,24,39,
151,26,43,26,29,
152,27,26,37,22,
153,24,28,26,43,
154,24,26,30,27,
155,12,24,35,84,
156,19,17,28,18,
157,16,26,24,37,
158,28,24,22,24,
159,10,23,13,200,
160,25,27,33,67,
161,43,23,27,200,
162,34,41,17,200,
163,30,25,29,200,
164,19,19,21,200,
165,14,22,23,70,
166,20,17,36,200,
167,12,43,22,129,
168,21,24,62,62,
169,23,27,31,42,
170,43,21,23,200,
171,46,17,20,17,
172,29,19,26,83,
173,20,22,33,176,
174,21,26,25,27,
175,24,23,42,200,
176,24,19,25,200,
177,28,23,30,200,
178,24,22,26,200,
179,20,40,17,138,
180,22,39,16,43,
181,15,14,20,127,
182,11,25,25,199,
183,24,14,17,55,
184,18,19,11,50,
185,27,14,28,25,
186,22,40,18,51,
187,21,21,24,46,
188,27,27,17,39,
189,20,47,20,36,
190,31,26,23,29,
191,32,19,26,42,
192,32,18,38,86,
193,23,9,32,98,
194,29,29,38,16,
195,23,16,20,122,
196,17,22,22,74,
197,23,24,22,200,
198,24,21,29,114,
199,30,17,19,129,
200,28,12,19,150,
201,23,16,44,39,
202,40,32,24,12,
203,18,46,25,12,
204,43,30,21,16,
205,45,24,23,19,
206,22,34,29,29,
207,16,28,30,200,
208,20,18,25,118,
209,27,16,43,32,
210,35,19,23,65,
211,15,27,15,25,
212,21,21,17,17,
213,27,22,32,17,
214,24,29,25,18,
215,17,24,28,18,
216,17,26,26,12,
217,21,27,21,20,
218,19,26,13,85,
219,31,30,23,18,
220,15,37,32,58,
221,32,24,26,55,
222,25,29,26,14,
223,18,46,26,20,
224,21,14,28,67,
225,22,31,22,200,
226,23,27,30,39,
227,21,24,33,55,
228,26,24,20,144,
229,32,12,27,137,
230,24,17,30,200,
231,25,30,38,20,
232,25,27,25,106,
233,25,30,21,200,
234,20,54,25,200,
235,35,35,29,200,
236,22,19,45,200,
237,30,25,17,200,
238,26,93,23,200,
239,30,38,41,23,
240,22,30,18,27,
241,35,23,24,22,
242,21,52,18,49,
243,39,24,22,19,
244,26,28,18,15,
245,23,19,23,13,
246,33,43,25,10,
247,19,10,31,78,
248,28,62,24,25,
249,40,29,21,50,
250,21,14,28,37,
251,27,25,30,18,
252,26,19,32,40,
253,22,25,24,130,
254,31,23,20,200,
255,19,22,32,63,
256,23,24,39,33,
257,51,15,21,200,
258,17,26,30,13,
259,22,23,26,150,
260,12,16,17,22,
261,20,24,22,200,
262,21,27,16,93,
263,20,31,20,135,
264,23,23,27,94,
265,23,22,25,117,
266,23,23,25,16,
267,29,19,24,200,
268,23,30,23,17,
269,27,15,22,200,
270,26,29,32,200,
271,34,21,20,76,
272,28,16,31,200,
273,33,25,26,200,
274,21,10,19,200,
275,22,24,29,200,
276,24,29,12,200,
277,21,26,25,200,
278,23,22,27,200,
279,21,27,19,200,
280,27,28,25,200,
281,23,25,25,200,
282,22,33,22,200,
283,19,21,16,200,
284,26,22,9,65,
285,23,28,23,50,
286,26,12,33,200,
287,22,47,19,94,
288,19,19,18,104,
289,28,30,32,200,
290,34,23,29,78,
291,25,13,46,200,
292,14,24,17,62,
293,22,28,32,31,
294,34,34,14,29,
295,37,23,32,25,
296,34,21,23,200,
297,32,19,43,70,
298,24,11,26,19,
299,23,21,25,13,
300,29,21,41,33,
301,18,21,35,13,
302,37,29,29,178,
303,25,33,29,18,
304,33,21,25,15,
305,56,22,23,30,
306,86,24,22,13,
307,22,25,21,23,
308,29,24,21,200,
309,18,28,28,138,
310,13,21,31,39,
311,25,23,18,31,
312,40,18,19,50,
313,23,34,34,49,
314,200,28,31,150,
315,200,36,34,28,
316,200,9,29,200,
317,33,25,19,200,
318,40,10,21,200,
319,23,24,29,200,
320,200,36,26,200,
321,30,68,28,200,
322,25,26,19,200,
323,99,32,34,52,
